"OBJECTID","Drena a","cod_pfs","c","Area_km2","LongCauce_km","tuhp","RioPpal","TipoCuenca","CENTROID_X","CENTROID_Y","Perimetro_km","PendienteMediaCaucePpal (%)","CotaMaxCuenca (m)","CotaMinCuenca (m)","DifCotaCuenca (m)","AlturaMedCuenca (m)","PARAMO HERBACEO POCO ALTERADO","AGROPECUARIO","PARAMO HERBACEO MUY ALTERADO","PLANTACION FORESTAL","VEGETACION HERBACEA HUMEDA MUY ALTERADA","BOSQUE NATIVO HUMEDO MEDIANAMENTE ALTERADO","BOSQUE NATIVO HUMEDO POCO ALTERADO","BOSQUE NATIVO SIN INFO","PARAMO ARBUSTIVO MEDIANAMENTE ALTERADO","PARAMO ARBUSTIVO POCO ALTERADO","PARAMO HERBACEO MEDIANAMENTE ALTERADO","PARAMO SIN INFO","Matorral humedo medianamente alterado","Matorral humedo muy alterado","Matorral humedo poco alterado","Matorral sin info","VEGETACION HERBACEA DE HUMEDAL MEDIANAMENTE ALTERADA","VEGETACION HERBACEA DE HUMEDAL MUY ALTERADA","VEGETACION HERBACEA DE HUMEDAL POCO ALTERADA","VEGETACION HERBACEA HUMEDA MEDIANAMENTE ALTERADA","AREA_POBLADA","CUERPO_DE_AGUA NATURAL","ERIAL","INFRAESTRUCTURA","MATORRAL SECO MEDIANAMENTE ALTERADO","MATORRAL SECO MUY ALTERADO","MATORRAL SECO POCO ALTERADO","VEGETACION HERBACEA SECA MUY ALTERADA","VEGETACION HERBACEA HUMEDA POCO ALTERADA","VEGETACION HERBACEA SECA MEDIANAMENTE ALTERADA","VEGETACION HERBACEA SECA POCO ALTERADA","PARAMO ARBUSTIVO MUY ALTERADO","CUERPO AGUA ARTIFICIAL","GLACIAR","VEGETACION HERBACEA SIN INFO","BOSQUE NATIVO HUMEDO MUY ALTERADO"
39,71,4996865,"Rio Chibunga","37,54","6,83","Intercuenca","Rio Chibunga","Cuenca media",761988,9813454,"30,79790519630","1,74356146444","2758,00000000000","2639,00000000000","119,00000000000","2699,53352354000",0,12807707,0,3661352,111833,0,0,0,0,0,0,0,147435,6573,0,0,0,0,0,124141,14725132,0,1355458,2194121,48076,53686,0,275671,5783,1462921,561526,0,0,0,0,0
40,34,4996861,"Rio Chibunga","3,81","1,85","Intercuenca","Rio Chibunga","Cuenca media",764572,9810928,"10,62152153350","2,64211727332","2644,00000000000","2595,00000000000","49,00000000000","2621,62631579000",0,2562017,0,140872,7311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35702,620361,690,30628,48382,198402,0,0,65831,0,66208,30691,0,0,0,0,0
41,71,4996862,"Quebrada Gualgalomon","44,53","11,11","Cuenca","Rio Chibunga","Cuenca media",761367,9803470,"35,43249381600","7,97750467080","3520,00000000000","2634,00000000000","886,00000000000","2870,79378775000",0,27085882,66797,4015055,19522,0,0,0,0,0,158545,0,571280,0,0,0,0,0,0,3338176,1180670,0,1323799,68522,49898,0,0,2824288,0,2466556,1363990,0,0,0,0,0
42,39,4996866,"Quebrada Cacha","28,44","11,70","Cuenca","Rio Chibunga","Cuenca media",754884,9810661,"29,18115044880","7,25473421983","3606,00000000000","2757,00000000000","849,00000000000","3073,10912191000",0,17135821,0,3392753,1805728,0,0,0,0,0,0,0,50128,0,0,0,0,0,0,55526,925097,0,1651350,89963,0,121360,0,0,45068,1827412,1343562,0,0,0,0,0
43,50,4996876,"Rio Alao","89,44","16,55","Cuenca","Rio Chambo","Cuenca media",776033,9794397,"46,46170581350","2,92411440777","3266,00000000000","2782,00000000000","484,00000000000","3043,26493199000",39433066,25422898,336556,1244590,541137,64537,0,0,527177,1398298,2103882,0,3813034,496832,1440823,0,0,0,130875,5614180,302371,473938,4333154,0,0,0,0,0,1763257,0,0,0,0,0,0,0
44,49,4996878,"Rio Chambo","51,52","3,81","Cuenca","Rio Chambo","Cuenca media",761277,9796329,"41,21441793900","1,49441043818","2894,00000000000","2837,00000000000","57,00000000000","2854,70663265000",0,39893293,272267,2540557,5434428,0,0,0,0,0,682382,0,193245,137353,0,0,0,0,0,1145094,798946,134801,120023,31252,0,0,0,0,0,132820,0,0,0,0,0,0
45,34,4996871,"Rio Chambo","34,07","8,74","Intercuenca","Rio Chambo","Cuenca media",766615,9806068,"26,71127104260","1,40765191955","2720,00000000000","2597,00000000000","123,00000000000","2638,88888889000",0,23778057,0,4701244,1347949,0,0,0,0,0,0,0,693732,0,54323,0,0,0,38660,154375,980094,336064,0,836435,0,0,0,21040,0,393543,733276,0,0,0,0,0
46,45,4996872,"Rio Ulpín","63,08","13,86","Cuenca","Rio Chambo","Cuenca media",775293,9804441,"37,53140457800","8,48702435823","3882,00000000000","2706,00000000000","1176,00000000000","3336,63809524000",35578077,15535941,0,701160,603621,4172612,560746,0,0,0,0,0,3521418,0,79634,0,0,0,0,19896,0,0,1604961,28203,0,0,0,0,0,0,0,0,0,677429,0,0
47,45,4996873,"Rio Chambo","2,06","2,22","Intercuenca","Rio Chambo","Cuenca media",768538,9802423,"6,73655737048","4,73951180289","2785,00000000000","2680,00000000000","105,00000000000","2709,32142857000",0,983828,0,75154,0,0,0,0,0,0,0,0,896957,0,0,0,0,0,0,24844,0,74254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,47,4996874,"Rio Daldal","30,49","9,35","Cuenca","Rio Chambo","Cuenca media",775900,9800478,"33,97273181600","10,07267447490","3721,00000000000","2779,00000000000","942,00000000000","3287,98026316000",19741195,5068198,86885,1054273,125472,1032138,79406,0,0,326975,0,0,140167,276305,671256,0,0,0,120144,24569,62888,0,1651413,0,0,0,0,0,0,0,0,0,0,30017,0,0
49,50,4996877,"Rio Chambo","13,51","5,55","Intercuenca","Rio Chambo","Cuenca media",766562,9795205,"15,35863561790","1,31483449198","2847,00000000000","2774,00000000000","73,00000000000","2803,67539267000",0,7646952,0,1457725,721748,0,0,0,0,0,0,0,258529,143364,0,0,0,0,0,2919110,140901,203110,20172,0,0,0,0,0,0,0,0,0,0,0,0,0
50,47,4996875,"Rio Chambo","43,49","5,87","Intercuenca","Rio Chambo","Cuenca media",768962,9799262,"38,13743818170","1,97702522642","2827,00000000000","2711,00000000000","116,00000000000","2757,03125000000",10883531,22231926,0,4285327,0,0,0,0,0,830042,0,0,797358,1346,0,0,0,0,0,573069,1323108,193901,448836,12358,138050,0,0,1309947,0,464381,0,0,0,0,0,0
51,49,4996879,"Rio Huargalla","87,38","12,84","Intercuenca","Rio Chambo","Cuenca media",771424,9788380,"44,36702808910","3,53670811285","3294,00000000000","2840,00000000000","454,00000000000","3070,11500381000",31075241,30440798,6379905,2244594,6102905,0,0,0,340742,16592,2227840,0,4120134,2454730,480612,0,0,0,526982,873876,33054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64000
52,74,4996882,"Rio Chidu","95,09","14,43","Cuenca","Rio Guamote","Cuenca media",751041,9775454,"73,26690449560","6,38282266698","4108,00000000000","3187,00000000000","921,00000000000","3537,59618008000",1297657,28462689,10350550,21752182,20391577,0,0,0,0,0,11313358,0,0,297903,0,0,38079,874816,0,0,272882,0,22695,19065,0,0,0,0,0,0,0,0,0,0,0,0
53,58,4996886,"Rio Llinllin","80,18","16,26","Cuenca","Rio Guamote","Cuenca media",743358,9790481,"43,08458888610","5,78203776414","4179,00000000000","3239,00000000000","940,00000000000","3657,37928994000",147124,16038954,1149945,310468,927128,0,0,0,0,0,60997081,0,0,431647,0,0,0,0,0,0,151172,0,0,23078,0,0,0,0,0,0,0,0,0,0,0,0
54,55,4996888,"Rio Gahulj│n","31,83","13,07","Cuenca","Rio Guamote","Cuenca media",747254,9801298,"33,13458046880","3,22887565217","3669,00000000000","3247,00000000000","422,00000000000","3458,13646702000",0,19496881,791182,418013,2050816,0,0,0,0,0,8664394,0,0,0,0,0,0,0,0,0,398940,0,0,10714,0,0,0,0,0,0,0,0,0,0,0,0
55,58,4996887,"Rio Sasapud","0,32","0,47","Intercuenca","Rio Guamote","Cuenca media",749249,9793810,"2,55836279867","4,89747694238","3262,00000000000","3239,00000000000","23,00000000000","3248,62000000000",0,221556,0,24599,32744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,62,4996898,"Quebrada Tasayo","43,21","9,84","Cuenca","Rio Cebadas","Cuenca alta",761407,9755398,"26,20709313000","4,62584129778","3992,00000000000","3537,00000000000","455,00000000000","3745,19441771000",19350741,13803126,916388,3699745,0,0,0,0,2537142,0,1236764,0,0,0,0,0,0,0,1215014,0,46208,0,401315,0,0,0,0,0,0,0,0,0,0,0,0,0
57,55,4996889,"Rio Sasapud","68,34","16,72","Intercuenca","Rio Guamote","Cuenca media",743830,9798887,"40,02285659120","3,56530773955","3844,00000000000","3248,00000000000","596,00000000000","3569,57468506000",117140,26235241,1059396,640852,735749,0,0,0,0,0,38945197,0,0,173394,0,0,0,0,0,0,366297,0,70545,0,0,0,0,0,0,0,0,0,0,0,0,0
58,60,4996885,"Rio Columbe","14,59","5,51","Intercuenca","Rio Guamote","Cuenca media",750505,9791378,"16,78806680100","1,90720815532","3256,00000000000","3151,00000000000","105,00000000000","3193,55655296000",0,11876632,434329,1232508,717379,0,0,0,0,0,0,0,0,59727,0,0,0,0,0,0,248968,0,0,24570,0,0,0,0,0,0,0,0,0,0,0,0
59,44,4996881,"Rio Guamote","55,18","11,91","Intercuenca","Rio Guamote","Cuenca media",758145,9790101,"36,52217389630","1,33474906075","3026,00000000000","2867,00000000000","159,00000000000","2951,36099585000",0,28336914,2048759,2076051,15292921,0,0,0,0,0,0,0,76266,4273546,0,0,0,0,0,1397707,176315,231513,1184983,80298,0,0,0,0,0,0,0,0,0,0,0,0
60,59,4996883,"Rio Columbe","31,56","6,36","Intercuenca","Rio Guamote","Cuenca media",751502,9787797,"27,46760031900","2,43743240131","3178,00000000000","3023,00000000000","155,00000000000","3108,03624382000",0,15780740,170577,2868563,10222964,0,0,0,0,0,1361063,0,0,539623,0,0,0,0,0,0,465190,192,152298,0,0,0,0,0,0,0,0,0,0,0,0,0
61,60,4996884,"Rio Guashi","108,26","19,81","Cuenca","Rio Guamote","Cuenca media",752828,9800045,"57,26568871430","2,89246281058","3725,00000000000","3152,00000000000","573,00000000000","3304,74384731000",0,84897767,192164,4373325,13714218,0,0,0,0,0,0,0,0,46020,0,0,0,124520,0,0,2850195,0,2001500,63335,0,0,0,0,0,0,0,0,0,0,0,0
62,68,4996897,"Rio Osogoche","48,81","9,53","Intercuenca","Rio Cebadas","Cuenca alta",765018,9761340,"34,02808669260","2,15120768707","3546,00000000000","3341,00000000000","205,00000000000","3456,42604167000",32603994,11490221,3477152,307841,9085,0,0,0,0,87126,706223,0,0,0,0,0,0,0,0,0,0,0,114015,0,0,0,0,0,0,0,0,10156,0,0,0,0
